,Entreprise,Metier,Technologies,Diplome,Experience,Ville,Techlist
7938,McKinsey & Company,Data scientist,sql/r/python/big data,Phd,2.0,Marseille,"['sql', 'r', 'python', 'big data']"
7939,Grifols,Data engineer,hadoop/hive/sql/mariadb,Bachelor,0.0,Paris,"['hadoop', 'hive', 'sql', 'mariadb']"
7940,Amazon.com,Data scientist,excel/python/matlab/r/machine learning/anglais,Phd,2.0,Marseille,"['excel', 'python', 'matlab', 'r', 'machine learning', 'anglais']"
7941,ThoughtWorks,Data scientist,python/r/machine learning/excel/vba/c++,Master,0.0,Lyon,"['python', 'r', 'machine learning', 'excel', 'vba', 'c++']"
7942,Capgemini,Data architecte,hadoop/perl/gnu/linux,No diploma,3.0,Lyon,"['hadoop', 'perl', 'gnu', 'linux']"
7943,Intercontinental Exchange,Lead data scientist,matlab/c/c++/python/scikit-learn,Phd,4.0,Rouen,"['matlab', 'c', 'c++', 'python', 'scikit-learn']"
7944,The Henry M. Jackson Foundation,Data scientist,java/c/c++/r/python,Phd,1.0,Paris,"['java', 'c', 'c++', 'r', 'python']"
7945,Ball Aerospace,Data scientist,python/tensorflow/scikit-learn/deep learning/r,Master,3.5,Toulouse,"['python', 'tensorflow', 'scikit-learn', 'deep learning', 'r']"
7946,UNKNOWN,Lead data scientist,sas/teradata/sql/r/python/machine learning/anglais,Master,0.5,Paris,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
7947,UNKNOWN,Data architecte,python/hadoop/kafka/aws,Phd,0.0,Strasbourg,"['python', 'hadoop', 'kafka', 'aws']"
7948,Manulife Financial,Data engineer,spark/python/scala,Master,2.5,Lyon,"['spark', 'python', 'scala']"
7949,Perficient,Data architecte,mongodb/sql/docker,Master,5.0,Lyon,"['mongodb', 'sql', 'docker']"
7950,UNKNOWN,Data scientist,matlab/c/c++/python/scikit-learn,Master,11.0,Nice,"['matlab', 'c', 'c++', 'python', 'scikit-learn']"
7951,State Street,Data architecte,mongodb/sql/docker,Master,8.0,Toulouse,"['mongodb', 'sql', 'docker']"
7952,Harvard University,Data architecte,python/aws/docker,Master,0.5,Toulouse,"['python', 'aws', 'docker']"
7953,QuantumBlack,Data scientist,r/python/spark/pycharm/sas/sql,Master,2.0,Bordeaux,"['r', 'python', 'spark', 'pycharm', 'sas', 'sql']"
7954,Intuit,Data scientist,python/r/spark/hadoop/sql,Phd,2.5,Marseille,"['python', 'r', 'spark', 'hadoop', 'sql']"
7955,GEORGIA-PACIFIC,Data engineer,spark/python/scala,No diploma,0.0,Paris,"['spark', 'python', 'scala']"
7956,Strategic Employment Partners,Data architecte,python/aws/docker,Master,3.0,Paris,"['python', 'aws', 'docker']"
7957,Harvard University,Lead data scientist,spss/excel/sas/r/machine learning/ai/scoring,Phd,5.0,Paris,"['spss', 'excel', 'sas', 'r', 'machine learning', 'ai', 'scoring']"
7958,ENGIE Insight,Data engineer,java/hadoop/hadoop/yarn,Master,1.5,Toulouse,"['java', 'hadoop', 'hadoop', 'yarn']"
7959,DELL,Data architecte,cassandra/mongodb/nosql/aws,Master,5.0,Marseille,"['cassandra', 'mongodb', 'nosql', 'aws']"
7960,Natera,Data architecte,c/c++/java/python,Master,3.0,Lyon,"['c', 'c++', 'java', 'python']"
7961,UNKNOWN,Data engineer,hadoop/hive/sql/mariadb,Master,1.5,Rouen,"['hadoop', 'hive', 'sql', 'mariadb']"
7962,Department of Homeland Security,Data scientist,excel/python/matlab/r/machine learning/anglais,Master,1.5,Paris,"['excel', 'python', 'matlab', 'r', 'machine learning', 'anglais']"
7963,Wayfair,Data architecte,spark/python,Master,0.0,Bordeaux,"['spark', 'python']"
7964,DRW Trading Group,Data engineer,python/spark/gnu/linux,Master,4.0,Lille,"['python', 'spark', 'gnu', 'linux']"
7965,WinterWyman,Lead data scientist,sas/teradata/sql/r/python/machine learning/anglais,Master,6.0,Lyon,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
7966,Operation HOPE,Data engineer,spark/python/scala,Master,3.0,Lyon,"['spark', 'python', 'scala']"
7967,SalesLoft,Data architecte,python/java/scala/mongodb,No diploma,2.5,Paris,"['python', 'java', 'scala', 'mongodb']"
7968,Analytic Recruiting,Data architecte,java/python/linux,Bachelor,3.0,Paris,"['java', 'python', 'linux']"
7969,Jobspring Partners,Data scientist,spss/sql/teradata/r/python/tensorflow/scikit-learn,Phd,0.5,Marseille,"['spss', 'sql', 'teradata', 'r', 'python', 'tensorflow', 'scikit-learn']"
7970,Teracore,Data engineer,mongodb/mariadb/python/docker,Master,0.0,Marseille,"['mongodb', 'mariadb', 'python', 'docker']"
7971,Wunderman,Lead data scientist,sas/teradata/sql/r/python/machine learning/anglais,Master,0.5,Rennes,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
7972,Boston University,Lead data scientist,python/tensorflow/scikit-learn/deep learning/r,Phd,5.0,Toulon,"['python', 'tensorflow', 'scikit-learn', 'deep learning', 'r']"
7973,Southwest Research Institute,Lead data scientist,python/tensorflow/r/big data,Master,2.5,Lyon,"['python', 'tensorflow', 'r', 'big data']"
7974,Ball Aerospace,Data architecte,docker/gnu/windows/linux/python,Master,4.0,Paris,"['docker', 'gnu', 'windows', 'linux', 'python']"
7975,Broad Institute,Data scientist,sas/teradata/sql/r/python/machine learning/anglais,Master,1.5,Lyon,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
7976,"Advanced Micro Devices, Inc.",Data scientist,r/machine learning/excel/vba,Phd,0.0,Paris,"['r', 'machine learning', 'excel', 'vba']"
7977,UNKNOWN,Data scientist,c++/r/python/matlab/matplotlib,Master,0.5,Toulouse,"['c++', 'r', 'python', 'matlab', 'matplotlib']"
7978,UNKNOWN,Lead data scientist,python/r/machine learning/excel/vba/c++,Phd,7.0,Paris,"['python', 'r', 'machine learning', 'excel', 'vba', 'c++']"
7979,Akili Interactive,Data scientist,c++/r/python/matlab/matplotlib,Bachelor,0.0,Paris,"['c++', 'r', 'python', 'matlab', 'matplotlib']"
7980,Vertex Pharmaceuticals,Data scientist,c/c++/java/python,Phd,0.0,Toulouse,"['c', 'c++', 'java', 'python']"
7981,UNKNOWN,Data engineer,hadoop/hive/sql/mariadb,No diploma,4.0,Toulouse,"['hadoop', 'hive', 'sql', 'mariadb']"
7982,UNKNOWN,Data scientist,python/microsoft azure/r/sql,Phd,1.5,Rouen,"['python', 'microsoft azure', 'r', 'sql']"
7983,Ball Aerospace,Data architecte,java/aws/elasticsearch/kibana,Master,3.5,Bordeaux,"['java', 'aws', 'elasticsearch', 'kibana']"
7984,The Boston Consulting Group,Data scientist,vba/python/excel/r,Phd,0.5,Marseille,"['vba', 'python', 'excel', 'r']"
7985,UNKNOWN,Data architecte,java/aws/elasticsearch/kibana,Master,0.0,Lille,"['java', 'aws', 'elasticsearch', 'kibana']"
7986,Vertex,Data engineer,python/java/linux/gnu,Master,0.5,Strasbourg,"['python', 'java', 'linux', 'gnu']"
7987,Fractal Analytics,Data scientist,spss/excel/sas/r/machine learning/ai/scoring,Master,2.0,Rennes,"['spss', 'excel', 'sas', 'r', 'machine learning', 'ai', 'scoring']"
7988,Indigo,Lead data scientist,sas/teradata/sql/r/python/machine learning/anglais,Bachelor,4.0,Marseille,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
7989,UNKNOWN,Data engineer,python/java/linux/gnu,Master,3.5,Lyon,"['python', 'java', 'linux', 'gnu']"
7990,Burns & McDonnell,Data scientist,r/python/spark/pycharm/sas/sql,Phd,1.5,Rouen,"['r', 'python', 'spark', 'pycharm', 'sas', 'sql']"
7991,UNKNOWN,Data scientist,java/c/c++/r/python,Master,1.5,Rennes,"['java', 'c', 'c++', 'r', 'python']"
7992,UNKNOWN,Data engineer,aws/python/c/c++/docker,No diploma,8.0,Lyon,"['aws', 'python', 'c', 'c++', 'docker']"
7993,JP Morgan Chase,Data scientist,r/python/spark/pycharm/sas/sql,Master,1.5,Lille,"['r', 'python', 'spark', 'pycharm', 'sas', 'sql']"
7994,Ball Aerospace,Data engineer,elasticsearch/kibana/mongodb,Master,0.0,Lille,"['elasticsearch', 'kibana', 'mongodb']"
7995,Amazon.com,Data scientist,python/tensorflow/r/big data,Phd,3.5,Bordeaux,"['python', 'tensorflow', 'r', 'big data']"
7996,Ra Pharmaceuticals,Data scientist,sql/r/python/big data,Phd,0.0,Bordeaux,"['sql', 'r', 'python', 'big data']"
7997,Matrix Resources,Lead data scientist,r/python/hadoop/hive/sql,Bachelor,4.0,Nantes,"['r', 'python', 'hadoop', 'hive', 'sql']"
7998,Harvard University,Data scientist,vba/python/excel/r,Master,2.0,Lille,"['vba', 'python', 'excel', 'r']"
7999,h2o.ai,Data architecte,cassandra/mongodb/nosql/aws,Master,0.0,Paris,"['cassandra', 'mongodb', 'nosql', 'aws']"
8000,Burns & McDonnell,Data architecte,python/hadoop/kafka/aws,Bachelor,1.0,Lille,"['python', 'hadoop', 'kafka', 'aws']"
8001,Howard Hughes Medical Institute,Data architecte,java/aws/elasticsearch/kibana,Master,1.0,Lyon,"['java', 'aws', 'elasticsearch', 'kibana']"
8002,KPMG,Data engineer,hadoop/hive/sql/mariadb,No diploma,1.0,Lille,"['hadoop', 'hive', 'sql', 'mariadb']"
8003,UNKNOWN,Data engineer,python/pyspark/spark,Master,0.0,Bordeaux,"['python', 'pyspark', 'spark']"
8004,Tempus,Data engineer,spark/python/scala,Master,3.0,Paris,"['spark', 'python', 'scala']"
8005,Baim Institute for Clinical Research,Data engineer,java/linux/gnu/docker,No diploma,1.0,Rennes,"['java', 'linux', 'gnu', 'docker']"
8006,Ball Aerospace,Lead data scientist,r/python/spark/pycharm/sas/sql,Master,3.5,Marseille,"['r', 'python', 'spark', 'pycharm', 'sas', 'sql']"
8007,General Assembly,Data scientist,python/r/machine learning/excel/vba/c++,Master,1.0,Paris,"['python', 'r', 'machine learning', 'excel', 'vba', 'c++']"
8008,"Blue Cross Blue Shield of IL, MT, NM, OK & TX",Data engineer,mariadb/mongodb/nosql/sql/hadoop/hive,Phd,0.0,Lyon,"['mariadb', 'mongodb', 'nosql', 'sql', 'hadoop', 'hive']"
8009,"Precision Systems, Inc.",Data architecte,hadoop/hive/vertica/tableau,Master,0.0,Marseille,"['hadoop', 'hive', 'vertica', 'tableau']"
8010,Booz Allen Hamilton,Data architecte,python/spark/hive/hadoop,Master,4.0,Bordeaux,"['python', 'spark', 'hive', 'hadoop']"
8011,Twitter,Data scientist,python/microsoft azure/r/sql,Bachelor,2.5,Lyon,"['python', 'microsoft azure', 'r', 'sql']"
8012,UNKNOWN,Data scientist,vba/python/excel/r,Phd,3.0,Lille,"['vba', 'python', 'excel', 'r']"
8013,Synopsys,Data scientist,r/python/hadoop/hive/sql,Master,2.0,Bordeaux,"['r', 'python', 'hadoop', 'hive', 'sql']"
8014,Tempus,Data engineer,java/hadoop/hadoop/yarn,Phd,1.5,Bordeaux,"['java', 'hadoop', 'hadoop', 'yarn']"
8015,UNKNOWN,Data scientist,python/tensorflow/scikit-learn/deep learning/r,Master,0.0,Toulouse,"['python', 'tensorflow', 'scikit-learn', 'deep learning', 'r']"
8016,Novetta,Data architecte,java/aws/elasticsearch/kibana,Master,1.5,Lille,"['java', 'aws', 'elasticsearch', 'kibana']"
8017,Springer Nature,Data scientist,python/tensorflow/scikit-learn/deep learning/r,Phd,7.0,Paris,"['python', 'tensorflow', 'scikit-learn', 'deep learning', 'r']"
8018,UNKNOWN,Data engineer,java/linux/gnu/docker,No diploma,0.0,Lille,"['java', 'linux', 'gnu', 'docker']"
8019,Ball Aerospace,Data engineer,mariadb/mongodb/nosql/sql/hadoop/hive,Bachelor,2.5,Rennes,"['mariadb', 'mongodb', 'nosql', 'sql', 'hadoop', 'hive']"
8020,National instrument,Data architecte,mongodb/sql/docker,Master,1.5,Lyon,"['mongodb', 'sql', 'docker']"
8021,UNKNOWN,Data engineer,python/spark/gnu/linux,Bachelor,2.0,Marseille,"['python', 'spark', 'gnu', 'linux']"
8022,UNKNOWN,Data architecte,spark/python,Master,0.0,Paris,"['spark', 'python']"
8023,Emory University,Data scientist,spss/excel/sas/r/machine learning/ai/scoring,Master,7.0,Marseille,"['spss', 'excel', 'sas', 'r', 'machine learning', 'ai', 'scoring']"
8024,TetraScience,Data scientist,sas/teradata/sql/r/python/machine learning/anglais,Master,2.5,Marseille,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
8025,DigitasLBi,Data engineer,aws/python/c/c++/docker,No diploma,0.0,Marseille,"['aws', 'python', 'c', 'c++', 'docker']"
8026,Jvion,Data scientist,python/r/machine learning/excel/vba/c++,Bachelor,1.5,Paris,"['python', 'r', 'machine learning', 'excel', 'vba', 'c++']"
8027,Morning Consult,Data scientist,c/c++/java/python,Master,3.0,Toulouse,"['c', 'c++', 'java', 'python']"
8028,Ball Aerospace,Data engineer,elasticsearch/kibana/mongodb,Master,3.5,Marseille,"['elasticsearch', 'kibana', 'mongodb']"
8029,SPK Consultants Inc,Data architecte,java/aws/elasticsearch/kibana,Master,3.5,Paris,"['java', 'aws', 'elasticsearch', 'kibana']"
8030,Klein Management Systems,Data scientist,python/tensorflow/scikit-learn/deep learning/r,Master,2.5,Lille,"['python', 'tensorflow', 'scikit-learn', 'deep learning', 'r']"
8031,Tempus,Data engineer,python/java/linux/gnu,Phd,1.0,Nantes,"['python', 'java', 'linux', 'gnu']"
8032,Patricio Enterprises,Data architecte,python/spark/hive/hadoop,Master,0.0,Marseille,"['python', 'spark', 'hive', 'hadoop']"
8033,Beth Israel Deaconess Medical Center,Data architecte,elasticsearch/kibana/redshift,Bachelor,3.0,Paris,"['elasticsearch', 'kibana', 'redshift']"
8034,Shire Pharmaceuticals,Data scientist,sql/r/python/big data,Master,0.5,Paris,"['sql', 'r', 'python', 'big data']"
8035,NCSA - Next College Student Athlete,Data engineer,python/spark/gnu/linux,Master,1.5,Paris,"['python', 'spark', 'gnu', 'linux']"
8036,UNKNOWN,Data scientist,sql/r/python/big data,Master,1.5,Nantes,"['sql', 'r', 'python', 'big data']"
8037,Lovepop,Data architecte,spark/python,No diploma,1.0,Marseille,"['spark', 'python']"
8038,UNKNOWN,Data engineer,python/pyspark/spark,No diploma,3.5,Strasbourg,"['python', 'pyspark', 'spark']"
8039,Logyx,Data scientist,python/microsoft azure/r/sql,Master,0.5,Marseille,"['python', 'microsoft azure', 'r', 'sql']"
8040,McKinsey & Company,Data engineer,java/hadoop/hadoop/yarn,Master,5.0,Bordeaux,"['java', 'hadoop', 'hadoop', 'yarn']"
8041,Samsung Research America,Data scientist,sas/teradata/sql/r/python/machine learning/anglais,Phd,2.5,Paris,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
8042,Relus Cloud,Data architecte,python/hadoop/kafka/aws,No diploma,4.0,Nantes,"['python', 'hadoop', 'kafka', 'aws']"
8043,UNKNOWN,Data architecte,java/python/linux,Master,12.0,Nantes,"['java', 'python', 'linux']"
8044,dbHMS,Data engineer,c/c++/java/python/linux,No diploma,3.0,Nice,"['c', 'c++', 'java', 'python', 'linux']"
8045,Nanocellect Biomedical Inc.,Data scientist,python/tensorflow/scikit-learn/deep learning/r,Master,2.5,Paris,"['python', 'tensorflow', 'scikit-learn', 'deep learning', 'r']"
8046,Raytheon,Data scientist,c/c++/java/python,Phd,2.5,Paris,"['c', 'c++', 'java', 'python']"
8047,UNKNOWN,Data scientist,python/r/machine learning/excel/vba/c++,Phd,0.0,Marseille,"['python', 'r', 'machine learning', 'excel', 'vba', 'c++']"
8048,UNKNOWN,Data scientist,r/machine learning/excel/vba,Master,6.0,Toulouse,"['r', 'machine learning', 'excel', 'vba']"
8049,QuantumBlack,Data scientist,python/microsoft azure/r/sql,Phd,1.5,Marseille,"['python', 'microsoft azure', 'r', 'sql']"
8050,Expedia,Data architecte,elasticsearch/kibana/redshift,No diploma,0.0,Toulouse,"['elasticsearch', 'kibana', 'redshift']"
8051,Oliver Wyman,Data scientist,python/tensorflow/scikit-learn/deep learning/r,Phd,0.5,Lyon,"['python', 'tensorflow', 'scikit-learn', 'deep learning', 'r']"
8052,Inari Agriculture,Data scientist,python/tensorflow/scikit-learn/deep learning/r,Master,2.0,Strasbourg,"['python', 'tensorflow', 'scikit-learn', 'deep learning', 'r']"
8053,University of Colorado,Data architecte,c/c++/java/python,Master,5.0,Rouen,"['c', 'c++', 'java', 'python']"
8054,Burns & McDonnell,Data architecte,cassandra/mongodb/nosql/aws,Master,0.5,Paris,"['cassandra', 'mongodb', 'nosql', 'aws']"
8055,Liberty Mutual,Lead data scientist,r/python/hadoop/hive/sql,Master,7.0,Marseille,"['r', 'python', 'hadoop', 'hive', 'sql']"
8056,Wayfair,Lead data scientist,python/tensorflow/r/big data,Master,3.5,Lille,"['python', 'tensorflow', 'r', 'big data']"
8057,UNKNOWN,Data scientist,python/tensorflow/scikit-learn/deep learning/r,Master,1.5,Grenoble,"['python', 'tensorflow', 'scikit-learn', 'deep learning', 'r']"
8058,UNKNOWN,Data engineer,java/hadoop/hadoop/yarn,Bachelor,3.5,Lille,"['java', 'hadoop', 'hadoop', 'yarn']"
8059,UNKNOWN,Lead data scientist,sql/r/python/big data,Master,2.5,Paris,"['sql', 'r', 'python', 'big data']"
8060,Olympia Medical Center,Data engineer,elasticsearch/kibana/mongodb,No diploma,1.0,Marseille,"['elasticsearch', 'kibana', 'mongodb']"
8061,Kantar Millward Brown,Data scientist,c++/r/python/matlab/matplotlib,Bachelor,2.0,Lille,"['c++', 'r', 'python', 'matlab', 'matplotlib']"
8062,Dow Jones,Data scientist,r/python/spark/pycharm/sas/sql,Master,9.0,Lyon,"['r', 'python', 'spark', 'pycharm', 'sas', 'sql']"
8063,UNKNOWN,Data engineer,python/java/linux/gnu,Bachelor,13.0,Bordeaux,"['python', 'java', 'linux', 'gnu']"
8064,Harnham,Data architecte,elasticsearch/kibana/redshift,Master,0.5,Nice,"['elasticsearch', 'kibana', 'redshift']"
8065,Broad Institute,Data scientist,sql/r/python/big data,Phd,0.0,Marseille,"['sql', 'r', 'python', 'big data']"
8066,Massachusetts General Hospital(MGH),Data scientist,r/python/hadoop/hive/sql,Phd,2.5,Paris,"['r', 'python', 'hadoop', 'hive', 'sql']"
8067,Belcan Government Services,Data architecte,python/hadoop/kafka/aws,Master,3.0,Marseille,"['python', 'hadoop', 'kafka', 'aws']"
8068,Nielsen,Data architecte,java/python/linux,Bachelor,2.0,Bordeaux,"['java', 'python', 'linux']"
8069,Amazon.com,Data engineer,map-reduce/hadoop/pig/hbase/python/cassandra,Master,2.0,Rennes,"['map-reduce', 'hadoop', 'pig', 'hbase', 'python', 'cassandra']"
8070,fractalanalytics,Data engineer,map-reduce/hadoop/pig/hbase/python/cassandra,Master,3.0,Toulouse,"['map-reduce', 'hadoop', 'pig', 'hbase', 'python', 'cassandra']"
8071,UNKNOWN,Lead data scientist,sas/teradata/sql/r/python/machine learning/anglais,Master,3.5,Lyon,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
8072,UNKNOWN,Data architecte,hadoop/hive/vertica/tableau,No diploma,0.0,Toulouse,"['hadoop', 'hive', 'vertica', 'tableau']"
8073,SKIM,Data architecte,cassandra/mongodb/nosql/aws,Master,2.5,Marseille,"['cassandra', 'mongodb', 'nosql', 'aws']"
8074,EXL,Data engineer,elasticsearch/kibana/mongodb,No diploma,3.0,Lyon,"['elasticsearch', 'kibana', 'mongodb']"
8075,Techpros,Lead data scientist,sql/r/python/big data,Phd,8.0,Toulouse,"['sql', 'r', 'python', 'big data']"
8076,Tempus,Data engineer,java/linux/gnu/docker,Master,0.0,Lille,"['java', 'linux', 'gnu', 'docker']"
8077,Bank of America Merchant Services,Data scientist,spss/excel/sas/r/machine learning/ai/scoring,Bachelor,1.5,Marseille,"['spss', 'excel', 'sas', 'r', 'machine learning', 'ai', 'scoring']"
8078,Ball Aerospace,Data engineer,java/hadoop/hadoop/yarn,No diploma,4.0,Rennes,"['java', 'hadoop', 'hadoop', 'yarn']"
8079,McKinsey & Company,Data scientist,python/microsoft azure/r/sql,Master,3.0,Paris,"['python', 'microsoft azure', 'r', 'sql']"
8080,UNKNOWN,Data architecte,java/python/linux,Master,13.0,Marseille,"['java', 'python', 'linux']"
8081,"Anthem, Inc.",Data architecte,python/spark/hive/hadoop,No diploma,2.5,Lyon,"['python', 'spark', 'hive', 'hadoop']"
8082,Dau International LLC,Data scientist,excel/vba/r,Master,17.0,Strasbourg,"['excel', 'vba', 'r']"
8083,TRC,Lead data scientist,c++/r/python/matlab/matplotlib,Phd,3.5,Lyon,"['c++', 'r', 'python', 'matlab', 'matplotlib']"
8084,UNKNOWN,Data engineer,hadoop/hive/sql/mariadb,Master,0.0,Rouen,"['hadoop', 'hive', 'sql', 'mariadb']"
8085,UNKNOWN,Data architecte,python/java/scala/mongodb,Master,3.0,Strasbourg,"['python', 'java', 'scala', 'mongodb']"
8086,UNKNOWN,Data engineer,c/c++/java/python/linux,No diploma,2.5,Lille,"['c', 'c++', 'java', 'python', 'linux']"
8087,LinQuest Corporation,Data scientist,python/r/spark/hadoop/sql,Phd,1.0,Lyon,"['python', 'r', 'spark', 'hadoop', 'sql']"
8088,Cognitive Scale,Data engineer,python/spark/gnu/linux,Master,5.0,Lille,"['python', 'spark', 'gnu', 'linux']"
8089,Ball Aerospace,Lead data scientist,python/tensorflow/r/big data,Master,2.0,Paris,"['python', 'tensorflow', 'r', 'big data']"
8090,UNKNOWN,Data architecte,mongodb/sql/docker,Master,4.0,Rouen,"['mongodb', 'sql', 'docker']"
8091,UNKNOWN,Data engineer,elasticsearch/kibana/mongodb,Master,0.0,Lyon,"['elasticsearch', 'kibana', 'mongodb']"
8092,Gaia International Inc.,Data scientist,python/r/machine learning/excel/vba/c++,Master,2.5,Marseille,"['python', 'r', 'machine learning', 'excel', 'vba', 'c++']"
8093,UNKNOWN,Data engineer,python/pyspark/spark,Master,3.0,Rouen,"['python', 'pyspark', 'spark']"
8094,The Camstoll Group,Data scientist,matlab/c/c++/python/scikit-learn,Master,0.5,Marseille,"['matlab', 'c', 'c++', 'python', 'scikit-learn']"
8095,UNKNOWN,Data scientist,python/tensorflow/scikit-learn/deep learning/r,Phd,1.5,Rennes,"['python', 'tensorflow', 'scikit-learn', 'deep learning', 'r']"
8096,Partners HealthCare(PHS),Data architecte,hadoop/perl/gnu/linux,Master,13.0,Toulouse,"['hadoop', 'perl', 'gnu', 'linux']"
8097,Dana-Farber Cancer Institute,Data engineer,python/pyspark/spark,Master,3.0,Marseille,"['python', 'pyspark', 'spark']"
8098,Comlinkdata,Data engineer,python/java/linux/gnu,Master,3.0,Rouen,"['python', 'java', 'linux', 'gnu']"
8099,ManTech International Corporation,Data architecte,cassandra/mongodb/nosql/aws,Master,0.5,Strasbourg,"['cassandra', 'mongodb', 'nosql', 'aws']"
8100,UNKNOWN,Data scientist,excel/vba/r,Phd,0.5,Paris,"['excel', 'vba', 'r']"
8101,Dana-Farber Cancer Institute,Data scientist,c++/r/python/matlab/matplotlib,Phd,2.5,Paris,"['c++', 'r', 'python', 'matlab', 'matplotlib']"
8102,Oversight Systems,Data engineer,map-reduce/hadoop/pig/hbase/python/cassandra,Master,0.5,Bordeaux,"['map-reduce', 'hadoop', 'pig', 'hbase', 'python', 'cassandra']"
8103,UNKNOWN,Data architecte,java/python/linux,Master,0.5,Lyon,"['java', 'python', 'linux']"
8104,Pearson,Data architecte,java/aws/elasticsearch/kibana,Bachelor,3.0,Paris,"['java', 'aws', 'elasticsearch', 'kibana']"
8105,Chewy,Data scientist,python/tensorflow/scikit-learn/deep learning/r,Phd,2.0,Rennes,"['python', 'tensorflow', 'scikit-learn', 'deep learning', 'r']"
8106,UNKNOWN,Data scientist,r/python/spark/pycharm/sas/sql,Master,2.5,Paris,"['r', 'python', 'spark', 'pycharm', 'sas', 'sql']"
8107,"Lionshare Lending, LLC",Data engineer,java/linux/gnu/docker,Master,11.0,Lyon,"['java', 'linux', 'gnu', 'docker']"
8108,Catapult Sports,Data architecte,elasticsearch/kibana/redshift,No diploma,5.0,Lille,"['elasticsearch', 'kibana', 'redshift']"
8109,Amazon.com,Data scientist,python/r/spark/hadoop/sql,Phd,1.5,Toulouse,"['python', 'r', 'spark', 'hadoop', 'sql']"
8110,CMTC,Data engineer,python/pyspark/spark,Master,1.0,Paris,"['python', 'pyspark', 'spark']"
8111,McKinsey & Company,Data engineer,python/spark/gnu/linux,Master,2.0,Lyon,"['python', 'spark', 'gnu', 'linux']"
8112,UNKNOWN,Data engineer,linux/python/hadoop/perl/ruby,Master,3.0,Lyon,"['linux', 'python', 'hadoop', 'perl', 'ruby']"
8113,Elsevier,Data scientist,excel/python/matlab/r/machine learning/anglais,Phd,4.0,Lyon,"['excel', 'python', 'matlab', 'r', 'machine learning', 'anglais']"
8114,Ball Aerospace,Data engineer,docker/postgresql/elasticsearch/kibana/mongodb,Master,1.5,Lyon,"['docker', 'postgresql', 'elasticsearch', 'kibana', 'mongodb']"
8115,UNKNOWN,Data scientist,excel/vba/r/python/pyspark,Bachelor,0.0,Marseille,"['excel', 'vba', 'r', 'python', 'pyspark']"
8116,Takeda Pharmaceutical,Data scientist,r/machine learning/excel/vba,Master,3.0,Paris,"['r', 'machine learning', 'excel', 'vba']"
8117,State Street,Data architecte,hadoop/hive/vertica/tableau,No diploma,3.5,Marseille,"['hadoop', 'hive', 'vertica', 'tableau']"
8118,Marsh & McLennan Companies,Data scientist,c++/r/python/matlab/matplotlib,Phd,0.5,Paris,"['c++', 'r', 'python', 'matlab', 'matplotlib']"
8119,UNKNOWN,Data scientist,python/r/spark/hadoop/sql,Master,0.5,Paris,"['python', 'r', 'spark', 'hadoop', 'sql']"
8120,Broad Institute,Data scientist,excel/vba/r,Phd,1.5,Nantes,"['excel', 'vba', 'r']"
8121,VIE HIRE,Data scientist,r/machine learning/excel/vba,Phd,3.0,Lille,"['r', 'machine learning', 'excel', 'vba']"
8122,Ball Aerospace,Data architecte,spark/python,Master,6.0,Lyon,"['spark', 'python']"
8123,Blue Health Intelligence,Data architecte,hadoop/hive/vertica/tableau,Master,3.5,Toulon,"['hadoop', 'hive', 'vertica', 'tableau']"
8124,Tempus,Data engineer,python/pyspark/spark,Phd,5.0,Lyon,"['python', 'pyspark', 'spark']"
8125,UNKNOWN,Data scientist,python/microsoft azure/r/sql,Phd,2.0,Paris,"['python', 'microsoft azure', 'r', 'sql']"
8126,UNKNOWN,Data scientist,sql/r/python/big data,Master,2.0,Lyon,"['sql', 'r', 'python', 'big data']"
8127,Anaconda,Lead data scientist,python/r/spark/hadoop/sql,Bachelor,2.5,Lyon,"['python', 'r', 'spark', 'hadoop', 'sql']"
8128,UNKNOWN,Lead data scientist,sas/teradata/sql/r/python/machine learning/anglais,Master,0.0,Nantes,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
8129,John Hancock,Data engineer,hadoop/hive/sql/mariadb,No diploma,0.0,Lille,"['hadoop', 'hive', 'sql', 'mariadb']"
8130,"Moderna Therapeutics, Inc",Data scientist,c++/r/python/matlab/matplotlib,Master,2.5,Marseille,"['c++', 'r', 'python', 'matlab', 'matplotlib']"
8131,UNKNOWN,Lead data scientist,python/r/machine learning/excel/vba/c++,Master,11.0,Lyon,"['python', 'r', 'machine learning', 'excel', 'vba', 'c++']"
8132,Georgia Tech Research Institute,Data scientist,python/pyspark/machine learning/microsoft azure,Master,1.0,Lyon,"['python', 'pyspark', 'machine learning', 'microsoft azure']"
8133,Google,Data scientist,r/python/spark/pycharm/sas/sql,Master,1.0,Lyon,"['r', 'python', 'spark', 'pycharm', 'sas', 'sql']"
